Datetime,Open,High,Low,Close,Volume
2025-01-21 14:30:00+00:00,19.56,21.38,19.28,21.08,4672638
2025-01-21 14:45:00+00:00,21.09,21.82,20.99,21.11,2271950
2025-01-21 15:00:00+00:00,21.11,21.28,19.77,20.23,1871970
2025-01-21 15:15:00+00:00,20.23,21.71,19.96,21.67,1483058
2025-01-21 15:30:00+00:00,21.64,22.75,21.53,22.58,3234055
2025-01-21 15:45:00+00:00,22.55,22.71,22.12,22.16,1862870
2025-01-21 16:00:00+00:00,22.18,22.56,21.64,22.41,1504194
2025-01-21 16:15:00+00:00,22.39,22.6,22.17,22.44,802906
2025-01-21 16:30:00+00:00,22.42,22.63,22.19,22.44,712518
2025-01-21 16:45:00+00:00,22.43,22.63,22.25,22.33,633772
2025-01-21 17:00:00+00:00,22.32,22.5,22.1,22.14,583864
2025-01-21 17:15:00+00:00,22.12,22.38,21.65,22.24,842320
2025-01-21 17:30:00+00:00,22.24,22.5,22.02,22.2,529713
2025-01-21 17:45:00+00:00,22.21,22.6,22.07,22.41,542930
2025-01-21 18:00:00+00:00,22.4,22.46,21.82,22.06,585470
2025-01-21 18:15:00+00:00,22.05,22.15,21.89,22.08,366342
2025-01-21 18:30:00+00:00,22.1,22.12,21.84,22.1,243361
2025-01-21 18:45:00+00:00,22.11,22.27,21.82,21.86,373553
2025-01-21 19:00:00+00:00,21.88,22.36,21.87,22.2,317365
2025-01-21 19:15:00+00:00,22.2,22.24,21.81,22.17,400260
2025-01-21 19:30:00+00:00,22.19,22.24,21.93,22.14,343918
2025-01-21 19:45:00+00:00,22.15,22.26,22.1,22.1,253001
2025-01-21 20:00:00+00:00,22.1,22.41,21.99,22.31,415338
2025-01-21 20:15:00+00:00,22.29,22.65,22.27,22.39,785739
2025-01-21 20:30:00+00:00,22.4,22.56,22.34,22.47,586962
2025-01-21 20:45:00+00:00,22.48,22.98,22.42,22.93,1715839
2025-01-22 14:30:00+00:00,22.13,22.77,21.86,22.31,2932468
2025-01-22 14:45:00+00:00,22.36,23.05,22.29,22.61,1307536
2025-01-22 15:00:00+00:00,22.64,23.19,22.51,23.1,811983
2025-01-22 15:15:00+00:00,23.1,23.44,23.03,23.33,812453
